City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
147,Natal,BR,-5.795,-35.2094,89.6,58,20,17.27,few clouds,2021-02-15 16:11:05
148,Saint-Joseph,RE,-21.3667,55.6167,80.6,69,0,4.61,light rain,2021-02-15 16:11:05
149,Kaitangata,NZ,-46.2817,169.8464,51.01,68,75,5.99,broken clouds,2021-02-15 16:11:06
150,Ponta Delgada,PT,37.7333,-25.6667,57.2,58,20,20.71,few clouds,2021-02-15 16:11:06
151,Kununurra,AU,-15.7667,128.7333,82.4,79,40,8.05,scattered clouds,2021-02-15 16:11:07
152,Koumac,NC,-20.5667,164.2833,77.92,79,3,4.05,clear sky,2021-02-15 16:11:07
153,Tuatapere,NZ,-46.1333,167.6833,43.0,86,65,1.01,broken clouds,2021-02-15 16:11:07
154,Lorengau,PG,-2.0226,147.2712,81.77,82,100,12.39,overcast clouds,2021-02-15 16:11:08
155,Bousse,BF,12.6606,-1.8922,100.4,9,36,6.91,scattered clouds,2021-02-15 16:06:12
156,Ilulissat,GL,69.2167,-51.1,5.0,56,75,6.91,broken clouds,2021-02-15 16:11:08
157,Arlit,NE,18.7369,7.3853,91.92,9,0,7.76,clear sky,2021-02-15 16:11:08
158,Makeni,SL,8.8833,-12.05,99.88,28,38,3.13,scattered clouds,2021-02-15 16:11:09
159,Bolshaya Rechka,RU,51.9503,104.7355,-16.6,76,0,4.47,clear sky,2021-02-15 16:11:09
160,Bengkulu,ID,-3.8004,102.2655,77.54,89,100,4.99,overcast clouds,2021-02-15 16:11:09
161,Mirnyy,RU,62.5353,113.9611,-26.7,84,100,8.43,overcast clouds,2021-02-15 16:11:09
162,Chernyshevsk,RU,52.5243,117.0174,-19.95,82,81,4.79,broken clouds,2021-02-15 16:11:10
163,Flinders,AU,-34.5833,150.8552,66.99,91,91,1.01,light rain,2021-02-15 16:11:10
164,Severo-Kurilsk,RU,50.6789,156.125,21.18,89,33,5.32,scattered clouds,2021-02-15 16:11:10
165,Qaqortoq,GL,60.7167,-46.0333,24.8,86,75,9.22,light snow,2021-02-15 16:11:11
166,Galle,LK,6.0367,80.217,78.21,77,77,2.42,broken clouds,2021-02-15 16:11:11
167,Genhe,CN,50.7833,121.5167,-17.66,85,99,3.29,overcast clouds,2021-02-15 16:11:11
168,Port Lincoln,AU,-34.7333,135.8667,66.54,72,98,9.95,heavy intensity rain,2021-02-15 16:11:11
169,Carnarvon,AU,-24.8667,113.6333,80.6,78,40,16.11,scattered clouds,2021-02-15 16:11:12
170,Souillac,MU,-20.5167,57.5167,80.6,78,75,2.3,broken clouds,2021-02-15 16:11:12
171,Ejura,GH,7.3856,-1.3562,97.59,28,61,4.88,broken clouds,2021-02-15 16:11:12
172,Qurayyat,SA,31.3318,37.3428,69.8,30,0,11.5,clear sky,2021-02-15 16:09:19
173,Belyy Yar,RU,53.6039,91.3903,8.6,92,40,2.24,mist,2021-02-15 16:11:13
174,Bakaly,RU,55.1789,53.8028,-5.35,91,95,7.02,overcast clouds,2021-02-15 16:11:13
175,San Rafael,AR,-34.6177,-68.3301,73.02,48,3,9.8,clear sky,2021-02-15 16:10:21
176,Sitka,US,57.0531,-135.33,28.4,74,20,3.44,few clouds,2021-02-15 16:11:14
177,Parabel,RU,58.6978,81.4825,22.77,94,100,11.48,overcast clouds,2021-02-15 16:11:14
178,Penzance,GB,50.1186,-5.5371,51.8,93,75,19.57,broken clouds,2021-02-15 16:11:14
179,Ryotsu,JP,38.0833,138.4333,43.21,65,77,39.15,light rain,2021-02-15 16:11:15
180,Pointe-Noire,CG,-4.7761,11.8635,86.0,74,40,10.36,scattered clouds,2021-02-15 16:11:15
181,Vardo,NO,70.3705,31.1107,28.4,64,75,17.27,broken clouds,2021-02-15 16:11:15
182,Airai,TL,-8.9266,125.4092,60.26,100,100,2.57,overcast clouds,2021-02-15 16:11:15
183,Nelson Bay,AU,-32.7167,152.15,69.8,88,40,9.22,scattered clouds,2021-02-15 16:11:16
184,Clyde River,CA,70.4692,-68.5914,-13.5,82,0,7.16,clear sky,2021-02-15 16:11:16
185,Araouane,ML,18.9048,-3.5265,89.82,11,57,15.59,broken clouds,2021-02-15 16:11:16
186,Ayagoz,KZ,47.9714,80.4392,17.76,83,26,2.37,scattered clouds,2021-02-15 16:11:16
